"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"InterContinental Mark Hopkins San Francisco","Nob Hill, San Francisco Show on map","£157","1 night, 2 adults","Standard Double Room with Two Double Beds","2 double beds","8.2","Very good","925 reviews","/hotel/us/inter-continental.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=18193203_277284365_2_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=11&highlighted_blocks=18193203_277284365_2_2_0&hpos=11&no_rooms=1&sr_order=popularity&sr_pri_blocks=18193203_277284365_2_2_0__20687&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Fairmont San Francisco","Nob Hill, San Francisco Show on map","£333","1 night, 2 adults","Deluxe King Room with City View","1 extra-large double bed","8.6","Fabulous","814 reviews","/hotel/us/the-fairmont-san-francisco-san-francisco-california.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5651202_266144189_2_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=12&highlighted_blocks=5651202_266144189_2_2_0&hpos=12&no_rooms=1&sr_order=popularity&sr_pri_blocks=5651202_266144189_2_2_0__43983&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Grand Hyatt San Francisco Union Square","Union Square, San Francisco Show on map","£197","1 night, 2 adults","King Room - Disability Access","1 extra-large double bed","8.6","Fabulous","1,942 reviews","/hotel/us/grand-hyatt-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=17306419_244542676_2_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=13&highlighted_blocks=17306419_244542676_2_2_0&hpos=13&no_rooms=1&sr_order=popularity&sr_pri_blocks=17306419_244542676_2_2_0__26079&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"The Westin St. Francis San Francisco on Union Square","Union Square, San Francisco Show on map","£167","1 night, 2 adults","Traditional, Guest room, 1 Queen, No view, Landmark","1 large double bed","8.3","Very good","760 reviews","/hotel/us/the-westin-st-francis.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5870739_102376460_0_10_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=14&highlighted_blocks=5870739_102376460_0_10_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=5870739_102376460_0_10_0__22016&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Infinity Hotel SF, Ascend Hotel Collection","Marina District, San Francisco Show on map","£177","1 night, 2 adults","Queen Room - Accessible/Non-Smoking","1 large double bed","8.4","Very good","1,024 reviews","/hotel/us/infinity-hotel-sf.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5768211_164347343_2_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=15&highlighted_blocks=5768211_164347343_2_0_0&hpos=15&no_rooms=1&sr_order=popularity&sr_pri_blocks=5768211_164347343_2_0_0__23398&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hotel Nikko San Francisco","Union Square, San Francisco Show on map","£207","1 night, 2 adults","Petite Queen Room","1 large double bed","8.8","Fabulous","2,109 reviews","/hotel/us/nikko-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5855401_238769769_0_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=16&highlighted_blocks=5855401_238769769_0_2_0&hpos=16&no_rooms=1&sr_order=popularity&sr_pri_blocks=5855401_238769769_0_2_0__27334&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Courtyard by Marriott San Francisco Union Square","Union Square, San Francisco Show on map","£158","1 night, 2 adults","King Room","1 extra-large double bed","7.9","Good","331 reviews","/hotel/us/courtyard-by-marriott-san-francisco-union-square.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=52833204_99469843_0_34_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=17&highlighted_blocks=52833204_99469843_0_34_0&hpos=17&no_rooms=1&sr_order=popularity&sr_pri_blocks=52833204_99469843_0_34_0__20844&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Chelsea Inn","Marina District, San Francisco Show on map","£188","1 night, 2 adults","King Room","1 extra-large double bed","8.4","Very good","2,125 reviews","/hotel/us/chelsea-inn-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=188739604_264450559_2_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=18&highlighted_blocks=188739604_264450559_2_0_0&hpos=18&no_rooms=1&sr_order=popularity&sr_pri_blocks=188739604_264450559_2_0_0__24832&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"The Fairmont Heritage Place Ghirardelli Square","Fisherman's Wharf, San Francisco Show on map","£765","1 night, 2 adults","One-Bedroom Apartment","2 beds
(1 extra-large double, 1 sofa bed)","9.0","Superb","161 reviews","/hotel/us/the-fairmont-heritage-place-ghirardelli-square.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=17408301_95176467_2_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=19&highlighted_blocks=17408301_95176467_2_0_0&hpos=19&no_rooms=1&sr_order=popularity&sr_pri_blocks=17408301_95176467_2_0_0__101021&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Coventry Inn","Marina District, San Francisco Show on map","£226","1 night, 2 adults","King Room","1 extra-large double bed","8.3","Very good","1,941 reviews","/hotel/us/coventry-inn.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=198780901_277190494_2_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=20&highlighted_blocks=198780901_277190494_2_0_0&hpos=20&no_rooms=1&sr_order=popularity&sr_pri_blocks=198780901_277190494_2_0_0__29823&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Greenwich Inn","Marina District, San Francisco Show on map","£125","1 night, 2 adults","Premium Queen Room - Non-Smoking","1 large double bed","7.8","Good","959 reviews","/hotel/us/greenwich-inn.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5618601_201211484_0_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=21&highlighted_blocks=5618601_201211484_0_0_0&hpos=21&no_rooms=1&sr_order=popularity&sr_pri_blocks=5618601_201211484_0_0_0__16554&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hyatt Regency San Francisco","Financial District, San Francisco Show on map","£233","1 night, 2 adults","Deluxe King Room","1 extra-large double bed","8.5","Very good","1,967 reviews","/hotel/us/hyatt-regency-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=18223020_262194744_2_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=22&highlighted_blocks=18223020_262194744_2_2_0&hpos=22&no_rooms=1&sr_order=popularity&sr_pri_blocks=18223020_262194744_2_2_0__30789&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Howard Johnson by Wyndham San Francisco Marina District","Marina District, San Francisco Show on map","£125","1 night, 2 adults","King Room - Non-Smoking","1 extra-large double bed","7.2","Good","272 reviews","/hotel/us/ramada-limited-fishermans-wharf.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=4248808_93696828_2_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=23&highlighted_blocks=4248808_93696828_2_2_0&hpos=23&no_rooms=1&sr_order=popularity&sr_pri_blocks=4248808_93696828_2_2_0__16476&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"JW Marriott San Francisco Union Square","Union Square, San Francisco Show on map","£185","1 night, 2 adults","King Room","1 extra-large double bed","8.3","Very good","366 reviews","/hotel/us/jw-marriott-san-francisco-union-square.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=26287901_246425407_0_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=24&highlighted_blocks=26287901_246425407_0_2_0&hpos=24&no_rooms=1&sr_order=popularity&sr_pri_blocks=26287901_246425407_0_2_0__24396&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Club Donatello","Union Square, San Francisco Show on map","£150","1 night, 2 adults","Deluxe King Room","2 beds
(1 extra-large double, 1 sofa bed)","9.0","Superb","533 reviews","/hotel/us/club-donatello.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5984501_224072891_0_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=25&highlighted_blocks=5984501_224072891_0_0_0&hpos=25&no_rooms=1&sr_order=popularity&sr_pri_blocks=5984501_224072891_0_0_0__19762&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
